timestamp,city,temperature,humidity,wind_speed
2025-01-31T00:00,Mumbai,24.1,42,6.7
2025-01-31T01:00,Mumbai,23.6,43,7.5
2025-01-31T02:00,Mumbai,23.0,48,10.0
2025-01-31T03:00,Mumbai,22.3,59,9.0
2025-01-31T04:00,Mumbai,21.9,62,8.3
2025-01-31T05:00,Mumbai,21.7,60,7.9
2025-01-31T06:00,Mumbai,21.4,65,6.0
2025-01-31T07:00,Mumbai,21.3,64,5.3
2025-01-31T08:00,Mumbai,22.6,58,5.4
2025-01-31T09:00,Mumbai,24.7,50,3.4
2025-01-31T10:00,Mumbai,27.0,42,1.8
2025-01-31T11:00,Mumbai,28.7,39,4.9
2025-01-31T12:00,Mumbai,29.1,47,9.4
2025-01-31T13:00,Mumbai,29.0,51,12.8
2025-01-31T14:00,Mumbai,29.0,49,14.1
2025-01-31T15:00,Mumbai,28.5,51,15.1
2025-01-31T16:00,Mumbai,27.6,57,14.7
2025-01-31T17:00,Mumbai,26.6,62,13.7
2025-01-31T18:00,Mumbai,25.0,70,13.9
2025-01-31T19:00,Mumbai,24.2,77,14.5
2025-01-31T20:00,Mumbai,23.9,75,15.7
2025-01-31T21:00,Mumbai,23.8,70,12.8
2025-01-31T22:00,Mumbai,23.3,69,8.3
2025-01-31T23:00,Mumbai,22.7,68,6.1
2025-02-01T00:00,Mumbai,22.2,65,5.6
2025-02-01T01:00,Mumbai,21.8,62,4.5
2025-02-01T02:00,Mumbai,21.1,62,3.7
2025-02-01T03:00,Mumbai,20.6,61,3.8
2025-02-01T04:00,Mumbai,20.7,58,4.5
2025-02-01T05:00,Mumbai,20.7,57,5.2
2025-02-01T06:00,Mumbai,20.7,65,5.2
2025-02-01T07:00,Mumbai,20.6,70,5.5
2025-02-01T08:00,Mumbai,21.8,70,6.5
2025-02-01T09:00,Mumbai,23.6,70,6.1
2025-02-01T10:00,Mumbai,25.6,60,4.9
2025-02-01T11:00,Mumbai,27.7,44,2.2
2025-02-01T12:00,Mumbai,28.8,40,6.3
2025-02-01T13:00,Mumbai,28.5,50,13.2
2025-02-01T14:00,Mumbai,27.9,54,17.1
2025-02-01T15:00,Mumbai,27.7,49,17.7
2025-02-01T16:00,Mumbai,27.3,47,17.1
2025-02-01T17:00,Mumbai,26.4,49,16.8
2025-02-01T18:00,Mumbai,25.1,57,15.2
2025-02-01T19:00,Mumbai,24.4,63,13.8
2025-02-01T20:00,Mumbai,24.3,55,14.5
2025-02-01T21:00,Mumbai,23.9,51,13.0
2025-02-01T22:00,Mumbai,23.7,46,12.2
2025-02-01T23:00,Mumbai,23.5,43,10.6
2025-02-02T00:00,Mumbai,23.1,41,6.7
2025-02-02T01:00,Mumbai,22.6,42,5.6
2025-02-02T02:00,Mumbai,22.3,42,8.2
2025-02-02T03:00,Mumbai,22.2,45,9.8
2025-02-02T04:00,Mumbai,21.9,47,10.0
2025-02-02T05:00,Mumbai,21.6,48,9.6
2025-02-02T06:00,Mumbai,21.3,51,7.6
2025-02-02T07:00,Mumbai,21.1,51,6.6
2025-02-02T08:00,Mumbai,21.9,48,6.5
2025-02-02T09:00,Mumbai,23.9,43,5.1
2025-02-02T10:00,Mumbai,26.5,36,3.6
2025-02-02T11:00,Mumbai,28.7,31,5.7
2025-02-02T12:00,Mumbai,29.9,32,9.9
2025-02-02T13:00,Mumbai,30.6,33,12.8
2025-02-02T14:00,Mumbai,30.7,34,15.1
2025-02-02T15:00,Mumbai,30.2,35,15.9
2025-02-02T16:00,Mumbai,29.2,37,16.2
2025-02-02T17:00,Mumbai,27.9,42,15.6
2025-02-02T18:00,Mumbai,26.3,55,15.4
